Generator,Generator type,Region,ISP sub-region,REZ location,Fuel/technology type,Maximum capacity (MW),Summer rating (MW),Summer typical rating (MW),Winter rating (MW),Maintenance duration (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary load (%),SRMC ($/MWh),Expected retirement year
Ross River Solar Farm,Large scale Solar PV,QLD,NQ,Northern Qld,Solar,128,116,116,116,0.00,18.18,0.00,0.00,0.00,0.00,0.92,0.02,0,2043
Rugby Run Solar Farm,Large scale Solar PV,QLD,CQ,Isaac,Solar,65,65,65,65,0.00,18.18,0.00,0.00,0.00,0.00,0.92,0.02,0,2049
Sun Metals Corporation Solar Farm,Large scale Solar PV,QLD,NQ,Northern Qld,Solar,143,120,121,121,0.00,18.18,0.00,0.00,0.00,0.00,1.00,0.02,0,2042
Susan River Solar Farm,Large scale Solar PV,QLD,SQ,Wide Bay,Solar,85,75,75,75,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2049
Warwick Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,64,64,64,64,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2046
Western Downs Green Power Hub,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,400,395,400,400,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2046
Whitsunday Solar Farm,Large scale Solar PV,QLD,CQ,Isaac,Solar,58,54,55,56,0.00,18.18,0.00,0.00,0.00,0.00,0.90,0.02,0,2048
Yarranlea Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,103,103,103,103,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2044
Adelaide Desalination Plant Solar Farm,Large scale Solar PV,SA,CSA,N/A,Solar,11,10,11,11,0.00,18.18,0.00,0.00,0.00,0.00,1.00,0.02,0,2041
Bolivar Waste Water Treatment Solar Farm,Large scale Solar PV,SA,CSA,N/A,Solar,11,11,11,11,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2045
Bungala One Solar Farm,Large scale Solar PV,SA,CSA,Northern SA,Solar,135,105,110,110,0.00,18.18,0.00,0.00,0.00,0.00,0.96,0.02,0,2044
